Year,Month,Day,Period,Value
2025,6,12,1,0.0
2025,6,12,2,0.0
2025,6,12,3,0.0
2025,6,12,4,0.0
2025,6,12,5,0.0
2025,6,12,6,0.0
2025,6,12,7,0.0
2025,6,12,8,0.0
2025,6,12,9,0.0
2025,6,12,10,0.0
2025,6,12,11,0.0
2025,6,12,12,0.0
2025,6,12,13,0.0
2025,6,12,14,0.0
2025,6,12,15,0.0
2025,6,12,16,0.0
2025,6,12,17,0.0
2025,6,12,18,0.0
2025,6,12,19,0.0
2025,6,12,20,0.0
2025,6,12,21,0.0
2025,6,12,22,0.0
2025,6,12,23,0.0
2025,6,12,24,0.0
2025,6,12,25,0.0
2025,6,12,26,0.0
2025,6,12,27,0.0
2025,6,12,28,0.24462255178350004
2025,6,12,29,0.2866009372545
2025,6,12,30,0.2866009372545
2025,6,12,31,0.2866009372545
2025,6,12,32,0.2866009372545
2025,6,12,33,0.38093785861999996
2025,6,12,34,0.38093785861999996
2025,6,12,35,0.38093785861999996
2025,6,12,36,0.38093785861999996
2025,6,12,37,0.457314893024
2025,6,12,38,0.457314893024
2025,6,12,39,0.457314893024
2025,6,12,40,0.457314893024
2025,6,12,41,0.6231601279585
2025,6,12,42,0.6231601279585
2025,6,12,43,0.6231601279585
2025,6,12,44,0.6231601279585
2025,6,12,45,0.6325828229434999
2025,6,12,46,0.6325828229434999
2025,6,12,47,0.6325828229434999
2025,6,12,48,0.6325828229434999
2025,6,12,49,0.6203694222274998
2025,6,12,50,0.6203694222274998
2025,6,12,51,0.6203694222274998
2025,6,12,52,0.6203694222274998
2025,6,12,53,0.625082975297
2025,6,12,54,0.625082975297
2025,6,12,55,0.625082975297
2025,6,12,56,0.625082975297
2025,6,12,57,0.6211766453309999
2025,6,12,58,0.6211766453309999
2025,6,12,59,0.6211766453309999
2025,6,12,60,0.6211766453309999
2025,6,12,61,0.587264633461
2025,6,12,62,0.587264633461
2025,6,12,63,0.587264633461
2025,6,12,64,0.587264633461
2025,6,12,65,0.5839669885115
2025,6,12,66,0.5839669885115
2025,6,12,67,0.5839669885115
2025,6,12,68,0.5839669885115
2025,6,12,69,0.582730943388
2025,6,12,70,0.582730943388
2025,6,12,71,0.582730943388
2025,6,12,72,0.582730943388
2025,6,12,73,0.5401147665154999
2025,6,12,74,0.5401147665154999
2025,6,12,75,0.5401147665154999
2025,6,12,76,0.2745007441055
2025,6,12,77,0.22117264017749996
2025,6,12,78,0.22117264017749996
2025,6,12,79,0.22117264017749996
2025,6,12,80,0.22117264017749996
2025,6,12,81,0.12913194141099998
2025,6,12,82,0.12913194141099998
2025,6,12,83,0.12913194141099998
2025,6,12,84,0.12913194141099998
2025,6,12,85,0.0
2025,6,12,86,0.0
2025,6,12,87,0.0
2025,6,12,88,0.0
2025,6,12,89,0.0
2025,6,12,90,0.0
2025,6,12,91,0.0
2025,6,12,92,0.0
2025,6,12,93,0.0
2025,6,12,94,0.0
2025,6,12,95,0.0
2025,6,12,96,0.0
